Trait,Label,Question,Score
Extraversion,E_Q1,Am the life of the party.,
Extraversion,E_Q2,Don't talk a lot. (R),
Extraversion,E_Q3,Feel comfortable around people.,
Extraversion,E_Q4,Keep in the background. (R),
Extraversion,E_Q5,Start conversations.,
Extraversion,E_Q6,Have little to say. (R),
Extraversion,E_Q7,Talk to a lot of different people at parties.,
Extraversion,E_Q8,Don't like to draw attention to myself. (R),
Extraversion,E_Q9,Don't mind being the center of attention.,
Extraversion,E_Q10,Am quiet around strangers. (R),
Agreeableness,A_Q1,Feel little concern for others. (R),
Agreeableness,A_Q2,Am interested in people.,
Agreeableness,A_Q3,Insult people. (R),
Agreeableness,A_Q4,Sympathize with others' feelings.,
Agreeableness,A_Q5,Am not interested in other people's problems. (R),
Agreeableness,A_Q6,Have a soft heart.,
Agreeableness,A_Q7,Am really not interested in others. (R),
Agreeableness,A_Q8,Take time out for others.,
Agreeableness,A_Q9,Make people feel at ease.,
Agreeableness,A_Q10,Feel othersâ€™ emotions.,
Conscientiousness,C_Q1,Am always prepared.,
Conscientiousness,C_Q2,Leave my belongings around. (R),
Conscientiousness,C_Q3,Pay attention to details.,
Conscientiousness,C_Q4,Make a mess of things. (R),
Conscientiousness,C_Q5,Get chores done right away.,
Conscientiousness,C_Q6,Often forget to put things back in their proper place. (R),
Conscientiousness,C_Q7,Like order.,
Conscientiousness,C_Q8,Shirk my duties. (R),
Conscientiousness,C_Q9,Follow a schedule.,
Conscientiousness,C_Q10,Am exacting in my work.,
Neuroticism,N_Q1,Get stressed out easily.,
Neuroticism,N_Q2,Am relaxed most of the time. (R),
Neuroticism,N_Q3,Worry about things.,
Neuroticism,N_Q4,Seldom feel blue. (R),
Neuroticism,N_Q5,Am easily disturbed.,
Neuroticism,N_Q6,Get upset easily.,
Neuroticism,N_Q7,Change my mood a lot.,
Neuroticism,N_Q8,Have frequent mood swings.,
Neuroticism,N_Q9,Get irritated easily.,
Neuroticism,N_Q10,Often feel blue.,
Openness,O_Q1,Have a rich vocabulary.,
Openness,O_Q2,Have difficulty understanding abstract ideas. (R),
Openness,O_Q3,Have a vivid imagination.,
Openness,O_Q4,Am not interested in abstract ideas. (R),
Openness,O_Q5,Have excellent ideas.,
Openness,O_Q6,Do not have a good imagination. (R),
Openness,O_Q7,Am quick to understand things.,
Openness,O_Q8,Use difficult words.,
Openness,O_Q9,Spend time reflecting on things.,
Openness,O_Q10,Am full of ideas.,